Date,Open,High,Low,Close,"Trend Supertrend (7,3)","MACD (12,26,9)","Signal MACD (12,26,9)","MACD (12,26,9)_hist",Volume
Mon Apr 08 2019 00:00:00 GMT+0530 (India Standard Time),220.87,227.65,216.35,222.32,243.2,-7.25,-9.8,2.54,29205718
Mon Apr 15 2019 00:00:00 GMT+0530 (India Standard Time),221.6,241.45,221.6,233.6,243.2,-5.61,-8.96,3.35,94956955
Mon Apr 22 2019 00:00:00 GMT+0530 (India Standard Time),227.6,243.05,227.6,236.89,243.2,-4,-7.97,3.97,49105580
Mon Apr 29 2019 00:00:00 GMT+0530 (India Standard Time),232.24,240.75,231.35,236.05,243.2,-2.76,-6.93,4.17,16612300
Mon May 06 2019 00:00:00 GMT+0530 (India Standard Time),234.15,240,224.75,231.4,243.2,-2.13,-5.97,3.84,24093838
Mon May 13 2019 00:00:00 GMT+0530 (India Standard Time),232.77,232.77,214.3,222.36,243.2,-2.33,-5.24,2.91,24281709
Mon May 20 2019 00:00:00 GMT+0530 (India Standard Time),227.57,230.7,219.25,226.56,243.2,-2.12,-4.62,2.49,24097839
Mon May 27 2019 00:00:00 GMT+0530 (India Standard Time),227.07,247.7,227.07,235.86,243.2,-1.19,-3.93,2.74,57394627
Mon Jun 03 2019 00:00:00 GMT+0530 (India Standard Time),231.46,256.2,231.46,246.05,193.49,0.36,-3.07,3.43,29078325
Mon Jun 10 2019 00:00:00 GMT+0530 (India Standard Time),238.76,252.75,238.2,245.65,196.09,1.54,-2.15,3.69,18553295
Mon Jun 17 2019 00:00:00 GMT+0530 (India Standard Time),242.2,250.1,235.45,241.07,196.09,2.08,-1.31,3.38,35391601
Mon Jun 24 2019 00:00:00 GMT+0530 (India Standard Time),241.64,248,237.75,241.24,196.82,2.49,-0.55,3.04,27055334
Mon Jul 01 2019 00:00:00 GMT+0530 (India Standard Time),241.44,241.44,225.6,233.1,196.82,2.14,-0.01,2.15,18451144
Mon Jul 08 2019 00:00:00 GMT+0530 (India Standard Time),237.27,237.27,212.95,220.32,196.82,0.82,0.16,0.66,30422405
Mon Jul 15 2019 00:00:00 GMT+0530 (India Standard Time),228.8,228.8,202.15,210.86,196.82,-0.98,-0.07,-0.91,40239814
Mon Jul 22 2019 00:00:00 GMT+0530 (India Standard Time),219.83,219.83,190.25,200.28,196.82,-3.22,-0.7,-2.52,45210778
Mon Jul 29 2019 00:00:00 GMT+0530 (India Standard Time),210.05,210.05,180.1,188.7,258.71,-5.86,-1.73,-4.13,45629704
Mon Aug 05 2019 00:00:00 GMT+0530 (India Standard Time),199.38,199.38,177.85,187.43,252.38,-7.97,-2.98,-4.99,46399283
Mon Aug 12 2019 00:00:00 GMT+0530 (India Standard Time),193.4,196.2,180.4,188.99,249.73,-9.41,-4.27,-5.14,36152166
Mon Aug 19 2019 00:00:00 GMT+0530 (India Standard Time),191.19,191.19,162.45,177.63,241.79,-11.33,-5.68,-5.65,48951579
Mon Aug 26 2019 00:00:00 GMT+0530 (India Standard Time),184.41,184.41,166.85,172.78,238.84,-13.09,-7.16,-5.93,73949196
Mon Sep 02 2019 00:00:00 GMT+0530 (India Standard Time),178.59,184.25,163.85,174.8,236.98,-14.17,-8.56,-5.6,58263924
Mon Sep 09 2019 00:00:00 GMT+0530 (India Standard Time),176.7,187.75,176.7,183.2,236.98,-14.17,-9.68,-4.49,27563591
Mon Sep 16 2019 00:00:00 GMT+0530 (India Standard Time),179.95,187.15,173.6,181.99,236.98,-14.11,-10.57,-3.54,53818513
Mon Sep 23 2019 00:00:00 GMT+0530 (India Standard Time),180.97,193.15,174.3,185.45,236.98,-13.63,-11.18,-2.45,56447792
Mon Sep 30 2019 00:00:00 GMT+0530 (India Standard Time),183.21,185.5,166.9,176.3,232.82,-13.83,-11.71,-2.12,42503991
Mon Oct 07 2019 00:00:00 GMT+0530 (India Standard Time),179.75,179.75,167.75,172.06,227.43,-14.16,-12.2,-1.96,23121722
Mon Oct 14 2019 00:00:00 GMT+0530 (India Standard Time),175.91,191.25,172.7,182.25,227.43,-13.45,-12.45,-1,38516943
Mon Oct 21 2019 00:00:00 GMT+0530 (India Standard Time),179.08,196.45,179.08,190.28,227.43,-12.1,-12.38,0.28,31527919
Mon Oct 28 2019 00:00:00 GMT+0530 (India Standard Time),184.68,195.7,184.35,190.16,227.43,-10.91,-12.09,1.18,25187101
Mon Nov 04 2019 00:00:00 GMT+0530 (India Standard Time),187.42,202.3,187.42,194.4,227.43,-9.52,-11.57,2.06,35369721
Mon Nov 11 2019 00:00:00 GMT+0530 (India Standard Time),190.91,200.75,185.25,191.4,227.43,-8.56,-10.97,2.41,25147940
Mon Nov 18 2019 00:00:00 GMT+0530 (India Standard Time),191.15,191.15,180.55,184.95,227.43,-8.22,-10.42,2.2,23174112
Mon Nov 25 2019 00:00:00 GMT+0530 (India Standard Time),188.05,193.55,180.95,187.09,227.43,-7.7,-9.88,2.18,29568122
Mon Dec 02 2019 00:00:00 GMT+0530 (India Standard Time),187.57,191.45,175.65,183.45,227.43,-7.48,-9.4,1.91,23638535
Mon Dec 09 2019 00:00:00 GMT+0530 (India Standard Time),185.51,185.51,169.75,177.28,223.88,-7.73,-9.06,1.34,30876266
Mon Dec 16 2019 00:00:00 GMT+0530 (India Standard Time),181.39,187.45,176.75,182.88,223.88,-7.38,-8.73,1.34,18253460
Mon Dec 23 2019 00:00:00 GMT+0530 (India Standard Time),182.13,190.25,179.95,185.95,223.88,-6.78,-8.34,1.56,23456057
Mon Dec 30 2019 00:00:00 GMT+0530 (India Standard Time),184.04,197.55,184.04,192.1,223.88,-5.74,-7.82,2.07,34090199
Mon Jan 06 2020 00:00:00 GMT+0530 (India Standard Time),188.07,194.7,182.1,190.39,223.88,-5,-7.26,2.25,43247048
Mon Jan 13 2020 00:00:00 GMT+0530 (India Standard Time),189.23,199.35,189.23,192.95,223.88,-4.16,-6.64,2.48,33067634
Mon Jan 20 2020 00:00:00 GMT+0530 (India Standard Time),191.09,194.55,174.6,185.15,223.88,-4.08,-6.12,2.05,60550972
Mon Jan 27 2020 00:00:00 GMT+0530 (India Standard Time),188.12,188.12,155.8,168.13,222.43,-5.32,-5.96,0.64,97517182
Mon Feb 03 2020 00:00:00 GMT+0530 (India Standard Time),178.12,178.12,156.9,164.29,219.87,-6.54,-6.08,-0.46,55185232
Mon Feb 10 2020 00:00:00 GMT+0530 (India Standard Time),171.2,171.2,158.95,164.46,215.21,-7.41,-6.34,-1.06,77907439
Mon Feb 17 2020 00:00:00 GMT+0530 (India Standard Time),167.83,167.83,149.75,159.59,209.51,-8.39,-6.75,-1.64,81510280
Mon Feb 24 2020 00:00:00 GMT+0530 (India Standard Time),163.71,163.71,151.5,157.95,206.31,-9.2,-7.24,-1.96,60607752
Mon Mar 02 2020 00:00:00 GMT+0530 (India Standard Time),160.83,164.95,151.25,156.78,205.72,-9.82,-7.76,-2.06,61816050
Mon Mar 09 2020 00:00:00 GMT+0530 (India Standard Time),158.8,158.8,108.4,138.11,196.02,-11.68,-8.54,-3.14,128946779
Mon Mar 16 2020 00:00:00 GMT+0530 (India Standard Time),148.46,148.46,106.75,125.04,196.02,-14.05,-9.65,-4.41,113860945
Mon Mar 23 2020 00:00:00 GMT+0530 (India Standard Time),136.75,136.75,103.95,111.85,195.58,-16.8,-11.08,-5.72,82920105
Mon Mar 30 2020 00:00:00 GMT+0530 (India Standard Time),124.3,127.1,111.95,118.46,190.55,-18.24,-12.51,-5.73,47125248
Mon Apr 06 2020 00:00:00 GMT+0530 (India Standard Time),121.38,128.15,121.38,125.13,189.79,-18.62,-13.73,-4.89,20354399
Mon Apr 13 2020 00:00:00 GMT+0530 (India Standard Time),123.25,137.2,123.1,129.84,189.79,-18.33,-14.65,-3.68,38011639
Mon Apr 20 2020 00:00:00 GMT+0530 (India Standard Time),126.55,134.65,119.75,127.7,186.54,-18.07,-15.33,-2.73,38500038
Mon Apr 27 2020 00:00:00 GMT+0530 (India Standard Time),127.12,134.2,119.2,127.6,183.99,-17.67,-15.8,-1.86,31848836
Mon May 04 2020 00:00:00 GMT+0530 (India Standard Time),127.36,132,113.3,122.13,179.77,-17.58,-16.16,-1.43,48621361
Mon May 11 2020 00:00:00 GMT+0530 (India Standard Time),124.74,124.74,110.05,114.14,172.66,-17.96,-16.52,-1.44,37882387
Mon May 18 2020 00:00:00 GMT+0530 (India Standard Time),119.44,119.44,105.8,109.81,165.83,-18.39,-16.89,-1.5,55276759
Mon May 25 2020 00:00:00 GMT+0530 (India Standard Time),114.63,127.2,109.75,118.4,165.83,-17.83,-17.08,-0.75,36358449
Mon Jun 01 2020 00:00:00 GMT+0530 (India Standard Time),116.51,134.5,116.51,128.76,165.83,-16.37,-16.94,0.57,67614469
Mon Jun 08 2020 00:00:00 GMT+0530 (India Standard Time),122.64,133.7,117.45,125.82,165.83,-15.27,-16.6,1.34,44816061
Mon Jun 15 2020 00:00:00 GMT+0530 (India Standard Time),124.23,124.75,112.9,119.78,165.83,-14.72,-16.23,1.51,76476685
Mon Jun 22 2020 00:00:00 GMT+0530 (India Standard Time),122,131.5,121.85,125.55,165.83,-13.65,-15.71,2.06,82954634
Mon Jun 29 2020 00:00:00 GMT+0530 (India Standard Time),123.78,125.6,116.15,121.76,165.83,-12.97,-15.16,2.19,49406267
Mon Jul 06 2020 00:00:00 GMT+0530 (India Standard Time),122.77,122.77,112.95,118.05,161.1,-12.58,-14.65,2.07,68133863
Mon Jul 13 2020 00:00:00 GMT+0530 (India Standard Time),120.41,120.41,109.35,114.61,156.68,-12.41,-14.2,1.79,45138361
Mon Jul 20 2020 00:00:00 GMT+0530 (India Standard Time),117.51,121.45,114.75,117.7,156.68,-11.88,-13.74,1.85,55062002
Mon Jul 27 2020 00:00:00 GMT+0530 (India Standard Time),117.61,117.61,112.3,114.97,150.49,-11.55,-13.3,1.74,27431790
Mon Aug 03 2020 00:00:00 GMT+0530 (India Standard Time),116.29,116.45,112.85,114.61,146.65,-11.19,-12.88,1.68,33144127
Mon Aug 10 2020 00:00:00 GMT+0530 (India Standard Time),115.45,119,113.05,115.93,146.01,-10.68,-12.44,1.76,54727274
Mon Aug 17 2020 00:00:00 GMT+0530 (India Standard Time),115.69,126.55,115.69,121.54,146.01,-9.71,-11.89,2.18,80560983
Mon Aug 24 2020 00:00:00 GMT+0530 (India Standard Time),118.61,128.7,118.61,125.34,146.01,-8.53,-11.22,2.69,54903700
